Cumulative deaths
Date generated: Wed Oct 14 2020 15:50:49 GMT-0500 (Central Daylight Time)

Day,CA,FL,IL,NC,TX,WI
170,14329,13225,8647,3579,14917,1291
171,14385,13287,8672,3608,14994,1291
172,14451,13296,8686,3629,15129,1293
173,14615,13317,8693,3634,15267,1310
174,14721,13416,8722,3637,15364,1337
175,14812,13618,8744,3670,15485,1358
176,14912,13795,8774,3693,15522,1363
177,14987,13915,8807,3722,15533,1383
178,15018,14022,8832,3747,15604,1388
179,15071,14032,8845,3765,15711,1392
180,15204,14037,8858,3770,15823,1410
181,15314,14143,8881,3773,15895,1426
182,15398,14317,8916,3816,15992,1435
183,15532,14444,8940,null,16025,1451
184,15587,14554,8992,null,16033,1468
185,15608,14628,9023,null,16111,1475
186,15640,14671,9040,null,16230,1484
187,15792,14712,9054,null,16334,1518
188,15888,14767,9085,null,16432,null
189,15986,14904,9127,null,16526,null
190,16074,15068,9159,null,16557,null
191,16120,15186,9191,null,16558,null
192,16149,15186,9221,null,16622,null
193,16177,15364,9230,null,null,null
194,16228,15412,9243,null,null,null
195,16361,15531,9272,null,null,null
196,16428,null,null,null,null,null
197,16500,null,null,null,null,null
198,16564,null,null,null,null,null
199,16572,null,null,null,null,null
200,16581,null,null,null,null,null
