Seven-day rolling average of new cases
Date generated: Wed Oct 14 2020 15:51:07 GMT-0500 (Central Daylight Time)

Day,CA,FL,IL,NC,TX,WI
180,4775,2551,1797,1123,3850,1189
181,4771,2491,1699,1178,4140,1224
182,4605,2474,1708,1213,4144,1323
183,4450,2460,1707,1260,4126,1407
184,4302,2595,1717,1247,4068,1484
185,3925,2636,1804,1215,4157,1647
186,3669,2741,1818,1235,4991,1786
187,3415,2680,1806,1228,6780,1801
188,3294,2729,1864,1237,6403,1870
189,3254,2743,1855,1211,6442,1912
190,3220,2737,1870,1230,5954,1968
191,3157,2690,1879,1901,6767,2018
192,3348,2733,1866,1977,6656,2025
193,3333,2620,1895,1971,5833,2096
194,3377,2567,1978,1981,3868,2169
195,3405,2456,1965,1941,4195,2232
196,3353,2363,1994,2018,4083,2333
197,3416,2228,2027,2102,4583,2414
198,3473,2342,2003,1479,4224,2489
199,3501,2240,2064,1542,4394,2517
200,3491,2250,2051,1445,4297,2538
201,3458,2222,2001,1643,4307,2492
202,3443,2221,2001,1731,4084,2491
203,3415,2216,1980,1762,4184,2438
204,3367,2313,2000,1784,4260,2438
205,3300,2169,2037,1821,3864,2477
206,3307,2264,2088,1838,3797,2526
207,3292,2363,2215,1996,3689,2514
208,3319,2398,2310,1856,3854,2626
209,3028,2009,2376,1889,null,2668
210,3060,2523,2558,null,null,2861
211,3074,2539,2685,null,null,null
212,3005,2604,2861,null,null,null
213,2942,null,null,null,null,null
214,3016,null,null,null,null,null
215,3047,null,null,null,null,null
216,3334,null,null,null,null,null
217,3264,null,null,null,null,null
218,3320,null,null,null,null,null
219,3420,null,null,null,null,null
